first_name,last_name,encrypted_password,email,village,phone_number,birthday,join_date,business_type
Maribel,Guzman Soriano ,123456789,maribel@gmail.com,San Sebastián Abasolo,951 461 68 38,2-Jan-1985,4-Feb-2013,Venta de cosmeticos
María,Isabel García Antonio,123456789,maria@gmail.com,San Juan Guelavía,951 141 55 12,19-Mar-1987,4-Sep-2018,Mercería
Isela,Bautista López ,123456789,isela@hotmail.com,San Juan Guelavía,951 195 21 76,4-Mar-1981,4-Sep-2018,merceria
Ernestina,Mateo Aragón ,123456789,ernestina@bluemail.com,San Marcos Tlapazola,951 301 79 77,7-Sep-1982,10-Sep-2018,Tortillas
Amalia,Crúz Martínez ,123456789,amalia@jimail.com,San Marcos Tlapazola,951 574 42 01,10-Jul-1978,10-Sep-2018,Barro
Claudia,Gutiérrez Ruíz ,123456789,claudia@gmail.com,Teotitlán del Valle,951 200 15 23,15-Apr-1986,25-May-2010,Jugos y Licuados
Marcelina,Gutiérrez Hernández ,123456789,marcelina@gmail.com,Teotitlán del Valle,951 524 45 87,7-Jun-1962,25-May-2010,Ropa Tipica
Reina,Erica López Hernández,123456789,reina@gmail.com,San Miguel del Valle,951 392 07 13,30-May-1995,3-Feb-2015,Bordados
Flor,Gutiérrez Andrez ,123456789,flor@gmail.com,San Sebastián Abasolo,951 101 46 35,7-Jul-1981,6-Jun-2012,Venta por catalogo
Juana,Gutiérrez Andres ,123456789,juanta@bluemail.com,San Sebastián Abasolo,951 287 38 28,23-Jun-1972,6-Jun-2012,Abarrotes
Rosa,Andrez Valeriano ,123456789,rosa@bluemail.com,San Sebastián Abasolo,951 562 80 39,31-Aug-1956,6-Jun-2012,Cultivo de frijol
Adriana,Lizbeth López López,123456789,adriana@bluemail.com,San Miguel del Valle,951 312 41 09 ,9-Jan-1998,17-Jul-2018,Tapete y Bolsas
Luz,Clarita García Policarpo,123456789,luz@hotmail.com,San Miguel del Valle,951 237 36 45 ,16-Nov-1998,17-Jul-2018,Bordados
Lucía,García  ,123456789,lucia@coldmail.com,San Juan Guelavía,951 329 95 00,16-Sep-1961,4-Sep-2018,Tortillas
Serafina,Espinoza Gutiérrez ,123456789,serafina@coldmail.com,Santa María Guelacé,951 224 30 90,12-Oct-1959,15-Apr-2015,Frituras
Catalina,Sánchez Martínez ,123456789,catalina@coldmail.com,Santa María Guelacé,951 403 11 25 ,30-Apr-1955,28-Jul-2015,Siembra de Maíz
María,Sosa Luis ,123456789,maria@coldmail.com,Teotitlán del Valle,951 147 28 37,4-Apr-1955,3-Apr-2012,Comedor
Marcela,Vicente Sosa ,123456789,marela@coldmail.com,Teotitlán del Valle,951 330 47 19,9-Jul-1985,3-Apr-2012,Bolsas
Francisca,Gómez Miguel ,123456789,francisca@coldmail.com,San Miguel del Valle,951 105 42 27,4-Oct-1956,19-Aug-2014,Tortillas
Ernestina,Pérez García ,123456789,ernestina@coldmail.com,San Sebastián Abasolo,951 288 38 45,8-Nov-1960,12-Nov-2012,Billar
